StartDate,LongStock,LongStartPrice,ShortStock,ShortStartPrice,ClosingDate,LongClosingPrice,ShortClosingPrice,Status,GrossProfit,GrossProfitMinusOrderfees,ReturnRate,ReturnRatePA
98,PEG,64.53523254394531,DTE,126.6314468383789,156,65.14879608154297,128.3679656982422,Normally closed,-2.102876370686994,-4.169543037353661,-0.00416954303735366,-0.01799003058933679
99,PEG,63.99977874755859,DTE,125.5741348266602,156,65.14879608154297,128.3679656982422,Normally closed,-2.147500072962993,-4.214166739629659,-0.00421416673962966,-0.01849720813008926
100,PEG,63.85888290405273,DTE,125.7345962524414,156,65.14879608154297,128.3679656982422,Normally closed,-0.3722205051352585,-2.438887171801925,-0.002438887171801925,-0.0109282455439389
101,PEG,64.85460662841797,DTE,126.7824859619141,156,65.14879608154297,128.3679656982422,Normally closed,-3.984686298150294,-6.05135296481696,-0.00605135296481696,-0.02742727960042368
102,PEG,64.38492584228516,DTE,125.2815017700195,156,65.14879608154297,128.3679656982422,Normally closed,-6.386057062292365,-8.452723728959032,-0.008452723728959033,-0.03883933885728519
103,PEG,63.97161102294922,DTE,125.1398773193359,156,65.14879608154297,128.3679656982422,Normally closed,-3.697080945140922,-5.763747611807588,-0.005763747611807588,-0.02711001512959421
104,PEG,64.38492584228516,DTE,125.3569869995117,156,65.14879608154297,128.3679656982422,Normally closed,-6.077558498149808,-8.144225164816476,-0.008144225164816476,-0.03885477703085782
107,PEG,64.77008056640625,DTE,126.5464630126953,156,65.14879608154297,128.3679656982422,Normally closed,-4.273434463474544,-6.34010113014121,-0.00634010113014121,-0.03218084912937935
108,PEG,63.55818939208984,DTE,124.0448150634766,156,65.14879608154297,128.3679656982422,Normally closed,-4.912765527242874,-6.97943219390954,-0.00697943219390954,-0.03610266342146895
109,PEG,61.69300079345703,DTE,121.2505035400391,156,65.14879608154297,128.3679656982422,Normally closed,-1.34223626504351,-3.408902931710177,-0.003408902931710177,-0.01814215935209551
113,PEG,57.29988479614258,DTE,112.5371475219727,156,65.14879608154297,128.3679656982422,Normally closed,-1.846201970942985,-3.912868637609652,-0.003912868637609652,-0.02271426782883923
114,PEG,55.86075973510742,DTE,110.9060440063477,156,65.14879608154297,128.3679656982422,Normally closed,4.411666263226977,2.34499959656031,0.00234499959656031,0.0141527412841338
116,PEG,56.48563766479492,DTE,111.4101181030273,156,65.14879608154297,128.3679656982422,Normally closed,0.5791025450475473,-1.48756412161912,-0.00148756412161912,-0.009334789158641166
117,PEG,56.63712692260742,DTE,112.132942199707,156,65.14879608154297,128.3679656982422,Normally closed,2.750278473375786,0.6836118067091195,0.0006836118067091195,0.004425438307637863
118,PEG,57.21467208862305,DTE,114.4821243286133,156,65.14879608154297,128.3679656982422,Normally closed,8.690115614396348,6.623448947729681,0.006623448947729681,0.04475154357759847
120,PEG,59.48697662353516,DTE,118.2674407958984,156,65.14879608154297,128.3679656982422,Normally closed,4.886678632379009,2.820011965712343,0.002820011965712342,0.01990787270628869
121,PEG,59.2976188659668,DTE,119.1044006347656,156,65.14879608154297,128.3679656982422,Normally closed,10.44894593419539,8.382279267528727,0.008382279267528726,0.06194365942584046
122,PEG,59.27867889404297,DTE,119.88427734375,156,65.14879608154297,128.3679656982422,Normally closed,14.13006498634149,12.06339831967483,0.01206339831967483,0.09294519656400446
123,PEG,59.91303253173828,DTE,120.550048828125,156,65.14879608154297,128.3679656982422,Normally closed,11.26867536631786,9.202008699651191,0.009202008699651192,0.07245299397253291
124,PEG,61.22907257080078,DTE,122.842170715332,156,65.14879608154297,128.3679656982422,Normally closed,9.517237964450054,7.450571297783387,0.007450571297783387,0.06019807513007702
126,PEG,59.62899017333984,DTE,119.9889068603516,156,65.14879608154297,128.3679656982422,Normally closed,11.36861026534189,9.301943598675226,0.009301943598675226,0.08087960030722097
129,PEG,59.15559768676758,DTE,119.8367309570312,156,65.14879608154297,128.3679656982422,Normally closed,15.06098240279642,12.99431573612975,0.01299431573612975,0.1280596844070514
130,PEG,58.4549674987793,DTE,119.0853805541992,156,65.14879608154297,128.3679656982422,Normally closed,18.28179019013564,16.21512352346897,0.01621512352346897,0.1687109332319885
131,PEG,57.75434875488281,DTE,118.4196166992188,156,65.14879608154297,128.3679656982422,Normally closed,22.01171879165316,19.94505212498649,0.01994505212498649,0.2202642751041493
132,PEG,57.12945938110352,DTE,118.4196166992188,156,65.14879608154297,128.3679656982422,Normally closed,28.18100236327408,26.11433569660742,0.02611433569660742,0.3108573356243605
133,PEG,57.32828521728516,DTE,119.0568542480469,156,65.14879608154297,128.3679656982422,Normally closed,29.1045006569539,27.03783399028723,0.02703783399028723,0.3395135411442327
134,PEG,56.86435699462891,DTE,117.6207046508789,156,65.14879608154297,128.3679656982422,Normally closed,27.15777137194811,25.09110470528144,0.02509110470528144,0.3282479172358543
135,PEG,57.19573593139648,DTE,118.0201568603516,156,65.14879608154297,128.3679656982422,Normally closed,25.68578043305863,23.61911376639197,0.02361911376639196,0.3233070952002888
138,PEG,56.90222549438477,DTE,117.6967926025391,156,65.14879608154297,128.3679656982422,Normally closed,27.12931512391477,25.06264845724811,0.0250626484572481,0.4141833636946146
139,PEG,57.46083450317383,DTE,118.800048828125,156,65.14879608154297,128.3679656982422,Normally closed,26.62841240422352,24.56174573755686,0.02456174573755686,0.4328884316147557
169,PEG,60.14972686767578,DTE,124.7823638916016,171,64.78866577148438,128.0921478271484,Normally closed,25.2993692923102,21.2993692923102,0.0212993692923102,13.23265843986544
