,cluster,ticker,company
181,2,GLW,Corning Inc.
182,2,GM,General Motors
183,2,GNRC,Generac
184,0,GOOG,Alphabet Inc. (Class C)
185,0,GOOGL,Alphabet Inc. (Class A)
186,1,GPC,Genuine Parts Company
187,0,GPN,Global Payments
188,2,GRMN,Garmin
189,2,GS,Goldman Sachs
190,2,GWW,W. W. Grainger
191,2,HAL,Halliburton
192,2,HAS,Hasbro
193,2,HBAN,Huntington Bancshares
194,1,HCA,HCA Healthcare
195,2,HD,Home Depot (The)
196,2,HES,Hess Corporation
197,1,HIG,Hartford (The)
198,2,HII,Huntington Ingalls Industries
199,2,HLT,Hilton Worldwide
200,1,HOLX,Hologic
201,2,HON,Honeywell
202,2,HPE,Hewlett Packard Enterprise
203,2,HPQ,HP Inc.
204,1,HRL,Hormel Foods
205,1,HSIC,Henry Schein
206,2,HST,Host Hotels & Resorts
207,1,HSY,Hershey's
208,1,HUM,Humana
209,2,HWM,Howmet Aerospace
210,2,IBM,IBM
211,1,ICE,Intercontinental Exchange
212,0,IDXX,Idexx Laboratories
213,2,IEX,IDEX Corporation
214,1,IFF,International Flavors & Fragrances
215,0,ILMN,Illumina
216,0,INCY,Incyte
217,2,INTC,Intel
218,0,INTU,Intuit
219,2,IP,International Paper
220,2,IPG,Interpublic Group of Companies (The)
221,0,IQV,IQVIA
222,2,IR,Ingersoll Rand
223,1,IRM,Iron Mountain
224,0,ISRG,Intuitive Surgical
225,0,IT,Gartner
226,2,ITW,Illinois Tool Works
227,2,IVZ,Invesco
228,2,J,Jacobs Solutions
229,2,JBHT,J.B. Hunt
230,2,JCI,Johnson Controls
231,1,JKHY,Jack Henry & Associates
232,1,JNJ,Johnson & Johnson
233,2,JNPR,Juniper Networks
234,2,JPM,JPMorgan Chase
235,1,K,Kellanova
236,1,KDP,Keurig Dr Pepper
237,2,KEY,KeyCorp
238,0,KEYS,Keysight
239,1,KHC,Kraft Heinz
240,1,KIM,Kimco Realty
241,2,KLAC,KLA Corporation
242,1,KMB,Kimberly-Clark
243,2,KMI,Kinder Morgan
244,2,KMX,CarMax
245,1,KO,Coca-Cola Company (The)
246,1,KR,Kroger
247,2,L,Loews Corporation
248,1,LDOS,Leidos
249,1,LEN,Lennar
250,1,LH,LabCorp
251,1,LHX,L3Harris
252,2,LIN,Linde plc
253,2,LKQ,LKQ Corporation
254,1,LLY,Eli Lilly and Company
255,1,LMT,Lockheed Martin
256,1,LNT,Alliant Energy
257,2,LOW,Lowe's
258,2,LRCX,Lam Research
259,2,LUV,Southwest Airlines
260,2,LVS,Las Vegas Sands
261,1,LW,Lamb Weston
262,2,LYB,LyondellBasell
263,0,LYV,Live Nation Entertainment
264,0,MA,Mastercard
265,1,MAA,Mid-America Apartment Communities
266,2,MAR,Marriott International
267,2,MAS,Masco
268,1,MCD,McDonald's
269,2,MCHP,Microchip Technology
270,1,MCK,McKesson
271,0,MCO,Moody's Corporation
272,1,MDLZ,Mondelez International
273,1,MDT,Medtronic
274,2,MET,MetLife
275,0,META,Meta Platforms
276,2,MGM,MGM Resorts
277,2,MHK,Mohawk Industries
278,1,MKC,McCormick & Company
279,1,MKTX,MarketAxess
280,1,MLM,Martin Marietta Materials
281,1,MMC,Marsh McLennan
282,2,MMM,3M
283,1,MNST,Monster Beverage
284,1,MO,Altria
285,0,MOH,Molina Healthcare
286,2,MOS,Mosaic Company (The)
287,2,MPC,Marathon Petroleum
288,0,MPWR,Monolithic Power Systems
289,1,MRK,Merck & Co.
290,2,MRO,Marathon Oil
291,2,MS,Morgan Stanley
292,0,MSCI,MSCI
293,0,MSFT,Microsoft
294,1,MSI,Motorola Solutions
295,2,MTB,M&T Bank
296,0,MTCH,Match Group
297,0,MTD,Mettler Toledo
298,2,MU,Micron Technology
299,2,NCLH,Norwegian Cruise Line Holdings
300,1,NDAQ,"Nasdaq, Inc."
301,2,NDSN,Nordson Corporation
302,1,NEE,NextEra Energy
303,1,NEM,Newmont
304,0,NFLX,Netflix
305,1,NI,NiSource
306,2,NKE,"Nike, Inc."
307,1,NOC,Northrop Grumman
308,0,NOW,ServiceNow
309,1,NRG,NRG Energy
310,2,NSC,Norfolk Southern Railway
311,0,NTAP,NetApp
312,2,NTRS,Northern Trust
313,2,NUE,Nucor
314,0,NVDA,Nvidia
315,1,NVR,"NVR, Inc."
316,2,NWS,News Corp (Class B)
317,2,NWSA,News Corp (Class A)
318,2,NXPI,NXP Semiconductors
319,1,O,Realty Income
320,2,ODFL,Old Dominion
321,2,OKE,ONEOK
322,1,OMC,Omnicom Group
323,2,ON,ON Semiconductor
324,2,ORCL,Oracle Corporation
325,1,ORLY,O'Reilly Auto Parts
326,2,OXY,Occidental Petroleum
327,2,PARA,Paramount Global
328,0,PAYC,Paycom
329,1,PAYX,Paychex
330,2,PCAR,Paccar
331,1,PEAK,Healthpeak
332,1,PEG,Public Service Enterprise Group
333,1,PEP,PepsiCo
334,1,PFE,Pfizer
335,2,PFG,Principal Financial Group
336,1,PG,Procter & Gamble
337,1,PGR,Progressive Corporation
338,2,PH,Parker Hannifin
339,1,PHM,PulteGroup
340,2,PKG,Packaging Corporation of America
341,1,PLD,Prologis
342,1,PM,Philip Morris International
343,2,PNC,PNC Financial Services
344,2,PNR,Pentair
345,1,PNW,Pinnacle West
346,1,POOL,Pool Corporation
347,2,PPG,PPG Industries
348,1,PPL,PPL Corporation
